GENE	phase1	phase2	phase3
UBE2Q1	-0.896959667969	-1.51581107577	-1.44514706689
UBE2Q2	0.163229436961	0.074436142074	-0.132618275455
RNF10	-0.454773849297	-1.35272831432	-1.78194701451
RNF11	0.654450415738	1.05886930964	0.565459575448
RNF13	0.362163369423	1.01517979852	0.503131773519
MVB12B	-1.17535362206	-1.91844593391	-2.1842101468
MZT2A	-0.00522577032561	-0.430525518297	-0.180077472244
MZT2B	0.148093833178	-0.230359843383	-0.0301468785828
PMM2	-0.879690174922	-1.47081402543	-2.21303130295
ZNF708	0.600381976185	0.12477415579	0.0445656834494
ZNF700	0.599809725583	1.14542802179	0.371270101591
ZNF707	0.53561537994	-0.857766917756	-0.808963753993
ZNF706	0.571584539733	0.574402009536	0.33599919994
RNF114	-0.218382519691	-0.646288834806	-0.858067169407
RNF115	0.0266395174131	-0.620244500528	-0.849807047892
ZC3H15	0.078956756424	0.507331121413	0.572597804105
SPN	-0.445157642682	-0.820912686472	-0.938323800588
RNF111	0.760795409409	1.28314364148	1.0817439498
DHX8	-0.6407608403	-0.673388638639	-0.70146732465
DHX9	0.25279442486	0.283910464381	0.130407662036
TCOF1	-0.825634644829	-1.83390912153	-2.22286105045
NUP98	0.0423960133368	-0.523646604063	-0.496091673665
XPC	-2.34154303886	-2.75072093729	-3.18528860985
SP1	-1.11865736358	-1.72797993369	-1.60208109191
XPA	0.500470420735	0.693925456682	0.496379435994
SP3	0.346825942719	-0.334611502782	-1.02802859658
NUP93	-0.404436007935	-1.06615758819	-0.949648992254
SPPL3	-1.07629761797	-1.05056797495	-1.60783461516
OPA1	0.397083477478	0.117702397479	0.306665780695
GTSE1	-0.386902601788	-0.164351856691	-1.10305643038
ARFRP1	-1.84350797161	-2.88461743175	-3.66460442425
SPPL2A	-0.298597693795	0.399591629279	-0.182032409151
NSL1	-0.0446895666865	0.438719930076	-0.0125147383371
UGCG	0.740869214217	1.09281865143	0.123292003747
ATP2A2	0.199960420771	-0.0683646603222	-0.453594238713
ATP2A3	-1.89288922612	-3.16376505472	-3.55667290818
NOP2	0.763559460212	1.15157325338	0.998529825874
ITGA4	-1.15512615642	-1.63596584894	-2.25572738028
RIT1	0.201839524232	0.658441656813	0.343158823938
DENND4B	-1.64448907719	-2.1896390816	-2.68602391717
DENND4C	-0.0534400335854	0.575843730615	0.682313836052
SWAP70	-1.71233929166	-1.60157567189	-1.4065998259
PHLDA3	2.03572536796	2.27063283318	3.54978237855
UFSP2	-0.35277041552	0.182681008979	0.0128802047436
C9orf40	0.818447126241	0.788150575407	1.3902732147
FBXL12	-0.278255394455	-0.384936221488	-0.723843547631
FBXL15	-2.04279714088	-2.80283687197	-2.27186316563
FBXL17	0.104737583936	-0.0618249906689	0.603055751565
FAM169A	0.167787267617	0.195111576743	0.20754862107
GHDC	-0.699502437993	-1.66831081078	-1.50700773882
KANSL1-AS1	-0.758161993963	-0.678222774067	-0.492085806036
TPRN	-0.120250199351	-1.20433607779	-0.896025880079
GRN	-1.6456329979	-2.67466111934	-2.67687189759
CHST2	0.157418716006	-0.0392613902776	-0.587182049894
TUBBP10	-1.50250185951	-1.81164783519	-1.44774078955
ITGAV	0.415845815616	1.23631840414	0.768235847516
HIBCH	0.44628381399	1.73048431943	1.24437046855
ITGAL	-0.698474234187	-0.747997417803	-0.45028125663
FAM134C	-0.742995098412	-1.02149046174	-1.60503725199
ITGAE	0.216454574586	0.172803143807	0.489424035579
FAM134A	-0.312925895573	0.0454555200152	-0.0409133968767
TRERF1	-1.39340509136	-1.9436552616	-1.12715287183
SMAD4	-0.950746143346	-2.24130241616	-2.47125679466
GOLPH3L	-0.37392123531	0.161320918009	0.621714965292
SMAD2	-0.77448672902	-0.490091301904	-0.494601951836
CAMK4	0.655700253038	0.311301958964	-1.08108539015
SETP14	-1.29346581454	-1.63165524002	-3.51815459149
AMMECR1L	0.46356680682	0.630179920527	0.474555999783
CYFIP1	-0.164858777621	-0.616114235309	-1.05982030493
IGF2R	0.0442845027905	-0.22586926391	-0.557275276105
SETP18	-0.621046622459	-1.28747082501	-2.56489251207
ABHD14B	-1.82220973153	-3.06169720691	-2.64957128727
SLC36A4	0.406972626362	0.712657840785	0.281336415409
CKS1B	0.594237696455	0.881533088665	0.101039055018
SLC36A1	0.281870723703	0.819179035294	1.05091571427
ERICH2	-1.13216259852	0.0616756522827	0.137571556567
ERICH1	-0.780750976001	-0.200228919263	-0.320579648551
HERC2P2	0.626978522458	1.34866924962	1.50308963019
CUTC	0.303071288631	0.704762912637	0.524840042606
HERC2P9	0.38714467976	1.16477313375	1.177405554
SPTLC1	-0.0526268687507	-1.10806347307	-1.12474829205
TCEA2	-1.68439561518	-3.00253534919	-2.82126543109
TCEA1	-0.48817752678	-0.146388078121	-0.47002072361
COX4I2	-1.26706045726	-3.51298187483	-3.80491928868
COX4I1	0.340718099599	0.366688125704	0.613389993126
BFAR	1.01177662755	1.28442975199	1.23176918022
CCDC117	-0.118865078978	-0.507073922594	-0.992101265396
RLF	0.406145058649	0.115133411487	0.244087064381
CCDC112	0.199633913537	0.378149498632	0.123127653688
CCDC111	-1.71313058637	-0.81259969021	-1.02941484127
LEO1	0.683581631858	1.74071988194	0.458252538694
ATP1A1	-1.34300374411	-1.6569087018	-1.71288891303
TCP1	0.534543308453	0.543534576046	0.33248599628
CRTAP	-1.18462538546	-0.80566565804	0.17321307185
RNU6-16	0.360652864792	1.17580815853	1.16987049558
RNU6-15	0.610657094538	1.40922153417	1.36959148968
IPO11	0.0920362725245	0.0693656405925	-0.174888489614
CUEDC2	-0.238856236306	-0.558591955294	0.0896081841264
RNU6-11	0.425283896306	1.4793922472	1.35504612463
RBMXL1	-0.669893587675	-2.12578713068	-1.7774178139
SRBD1	-0.547558116258	0.432241181272	0.78331050157
ABAT	0.922480937697	2.04459397796	2.42603635439
FRG1	0.495229599153	0.317473050227	1.21243610313
RHEBL1	-1.18817398343	-1.60264045978	-1.53802109417
IFT80	-0.363902650885	-0.157218293173	-0.0183707191744
IFT81	0.295618035935	1.37278056721	0.318896262024
IFT88	-0.690974512173	0.541718695039	0.166560038334
RPL17P37	-1.32595361451	-2.60259569018	-2.11538017183
SARDH	-0.569539610975	-1.21183998874	-0.664325727965
RPL17P33	-0.736382490182	-1.09221151979	-0.792566890453
GRINA	-1.20349131706	-1.88601217739	-1.1505372748
MCM10	-0.142761782876	0.632916231149	0.295740341468
SP4	0.0323213175218	0.0338309753882	-0.00921828281014
IL10RB	-1.29129231575	-1.51080781029	-2.06053399871
ATG4B	-0.997902677447	-1.94766666909	-1.85639453714
ATG4A	-0.401911787585	-0.0399574384362	0.511670922047
ATG4D	-1.44785084375	-2.1793813491	-3.08186145186
PNP	-1.16860525096	-1.36612698327	-1.43033317027
CFD	-0.690338402334	-1.80719915463	-0.97549465004
PNN	0.506820158756	0.384896237102	-0.202044854024
ATP6V0E1	-1.46230603346	-1.36018095211	-1.59399640399
ATP6V0E2	-1.10152949371	-1.86013752655	-1.5599686969
AAAS	-1.11521916337	-2.05180276452	-1.68219858044
UAP1	1.59937796314	1.70882788634	1.90589462851
SIDT1	-0.453092933012	0.250479097288	0.520576190342
SIDT2	-0.472934588976	-0.850263095208	-0.463633176264
ADCY10P1	0.316162716663	1.53831222232	1.00108870833
SIX5	-0.919965161413	-0.691682713829	-0.18365494997
WASH3P	-0.613817000002	-1.37778893077	-1.95226179656
CNPY4	0.0126284317947	0.798148324227	0.990998833008
CNPY3	-1.54438401209	-3.14475165536	-3.91856045112
HMG20A	-0.0172273779483	0.632199033478	0.660450157889
HMG20B	-0.554202255898	-2.08281705849	-1.80699501915
AAGAB	0.360272149532	0.0850715059516	-0.105322648445
EIF3EP1	-0.00480806824607	-0.456667197044	-0.556338777589
ZFP82	0.535730380371	0.101609836531	-0.415310094869
CHFR	-0.464369361253	-1.00671244213	-0.0724772418219
EFHA1	0.468303064538	1.02013614411	0.625072928749
SYPL1	0.676962138135	1.07434918691	0.373323021969
RFX5	-0.233778241763	0.366324602638	0.614333586424
APP	0.455329357419	0.930901310145	0.705225788073
RFX7	-0.329639035664	0.248820227892	-0.168647367149
RFX1	-0.92202957586	-1.6357566435	-1.45516824171
YDJC	-0.401311494051	-1.08864638971	-1.10116489362
IBA57	0.804662626619	-0.150257399796	-0.426887458733
APC	0.0425046708566	0.0998963356013	-0.0791726812714
TMEM179B	-0.709172023449	-0.582534606687	-0.394353178603
